xml_id	midi_id	track	channel	pitch	onset
n2-1	deletion
n4-1	deletion
n6-1	deletion
n8-1	deletion
n3-1	deletion
n5-1	deletion
n7-1	deletion
n9-1	deletion
n1-1	deletion
n11-1	deletion
n13-1	deletion
n12-1	deletion
n14-1	deletion
n10-1	deletion
n15-1	deletion
n17-1	deletion
n16-1	deletion
n18-1	deletion
n26-1	deletion
n27-1	deletion
n29-1	deletion
n20-1	deletion
n28-1	deletion
n21-1	deletion
n22-1	deletion
n23-1	deletion
n24-1	deletion
n30-1	deletion
n32-1	deletion
n31-1	deletion
n33-1	deletion
n25-1	deletion
n35-1	deletion
n37-1	deletion
n36-1	deletion
n38-1	deletion
n34-1	deletion
n39-1	deletion
n41-1	deletion
n40-1	deletion
n42-1	deletion
n50-1	deletion
n51-1	deletion
n53-1	deletion
n44-1	deletion
n52-1	deletion
n45-1	deletion
n46-1	deletion
n47-1	deletion
n48-1	deletion
n54-1	deletion
n56-1	deletion
n55-1	deletion
n57-1	deletion
n49-1	deletion
n59-1	deletion
n61-1	deletion
n60-1	deletion
n62-1	deletion
n58-1	deletion
n63-1	deletion
n65-1	deletion
n64-1	deletion
n66-1	deletion
n79-1	deletion
n81-1	deletion
n80-1	deletion
n82-1	deletion
n68-1	deletion
n69-1	deletion
n70-1	deletion
n71-1	deletion
n72-1	deletion
n84-1	deletion
n83-1	deletion
n85-1	deletion
n74-1	deletion
n75-1	deletion
n76-1	deletion
n77-1	deletion
n78-1	deletion
n98-1	deletion
n100-1	deletion
n99-1	deletion
n101-1	deletion
n87-1	deletion
n88-1	deletion
n89-1	deletion
n90-1	deletion
n91-1	deletion
n102-1	deletion
n93-1	deletion
n94-1	deletion
n95-1	n17	1	0	64	12.97395833333333
n105-1	deletion
n96-1	deletion
n97-1	n18	1	0	68	12.975260416666664
n116-1	deletion
n117-1	deletion
n106-1	deletion
n107-1	deletion
n108-1	deletion
n109-1	n16	1	0	75	12.93098958333333
n119-1	deletion
n120-1	deletion
n111-1	deletion
n112-1	deletion
n113-1	deletion
n114-1	deletion
n115-1	deletion
n134-1	deletion
n135-1	deletion
n123-1	deletion
n124-1	deletion
n125-1	deletion
n126-1	deletion
n127-1	n21	1	0	87	15.571614583333332
insertion	n19	1	0	87	13.47005208333333
n137-1	deletion
n138-1	deletion
n129-1	deletion
n130-1	deletion
n131-1	deletion
n132-1	n20	1	0	90	13.789062499999998
n133-1	deletion
n152-1	deletion
n153-1	deletion
n141-1	deletion
n142-1	deletion
n143-1	deletion
n144-1	deletion
n145-1	deletion
n155-1	deletion
n156-1	deletion
n147-1	deletion
n148-1	deletion
n149-1	deletion
n150-1	deletion
n151-1	deletion
n163-1	deletion
n164-1	deletion
n165-1	deletion
n161-1	n29	1	0	80	22.182291666666636
n175-1	n45	1	0	58	27.877604166666636
n176-1	deletion
n177-1	n42	1	0	68	27.8489583333333
n173-1	deletion
n169-1	deletion
n170-1	deletion
n172-1	deletion
n184-1	deletion
n185-1	deletion
n186-1	deletion
n182-1	deletion
n196-1	deletion
n197-1	n53	1	0	64	32.014322916666636
n198-1	deletion
n194-1	deletion
n190-1	deletion
n191-1	deletion
n193-1	deletion
n206-1	deletion
n207-1	deletion
n205-1	deletion
n203-1	deletion
n211-1	n75	1	0	75	40.671874999999986
n209-1	deletion
n222-1	deletion
n223-1	deletion
n224-1	deletion
n219-1	deletion
n217-1	deletion
n215-1	deletion
n214-1	deletion
n233-1	deletion
n221-1	deletion
n216-1	deletion
n228-1	deletion
n229-1	deletion
n230-1	deletion
n244-1	n79	1	0	52	42.631510416666686
n245-1	n80	1	0	58	42.64192708333336
n246-1	n81	1	0	62	42.64713541666669
n242-1	n78	1	0	68	42.623697916666686
n231-1	deletion
n238-1	n84	1	0	74	44.992187500000036
insertion	n82	1	0	74	42.910156250000036
