velocity,timing,articulation,id
0.0,0.0,0.0,n6-1
0.0,0.0,0.0,n7-1
0.0,0.0,0.0,n1-1
0.0,0.0,0.0,n2-1
0.0,0.0,0.0,n3-1
0.0,0.0,0.0,n4-1
0.0,0.0,0.0,n33-1
0.0,0.0,0.0,n34-1
0.0,0.0,0.0,n14-1
0.0,0.0,0.0,n15-1
0.0,0.0,0.0,n16-1
0.0,0.0,0.0,n17-1
0.0,0.0,0.0,n35-1
0.0,0.0,0.0,n36-1
0.0,0.0,0.0,n37-1
0.0,0.0,0.0,n38-1
0.0,0.0,0.0,n19-1
0.0,0.0,0.0,n39-1
0.0,0.0,0.0,n20-1
0.0,0.0,0.0,n40-1
0.0,0.0,0.0,n21-1
0.0,0.0,0.0,n58-1
0.0,0.0,0.0,n49-1
0.0,0.0,0.0,n41-1
0.0,0.0,0.0,n65-1
0.0,0.0,0.0,n42-1
0.0,0.0,0.0,n66-1
0.0,0.0,0.0,n43-1
0.0,0.0,0.0,n62-1
0.0,0.0,0.0,n50-1
0.0,0.0,0.0,n53-1
0.0,0.0,0.0,n54-1
0.0,0.0,0.0,n67-1
0.0,0.0,0.0,n55-1
0.0,0.0,0.0,n68-1
0.0,0.0,0.0,n51-1
0.0,0.0,0.0,n52-1
0.0,0.0,0.0,n56-1
0.0,0.0,0.0,n86-1
0.0,0.0,0.0,n77-1
0.0,0.0,0.0,n78-1
0.0,0.0,0.0,n69-1
0.0,0.0,0.0,n93-1
0.0,0.0,0.0,n70-1
0.0,0.0,0.0,n94-1
0.0,0.0,0.0,n71-1
0.0,0.0,0.0,n90-1
0.0,0.0,0.0,n81-1
0.0,0.0,0.0,n82-1
0.0,0.0,0.0,n95-1
0.0,0.0,0.0,n83-1
0.0,0.0,0.0,n96-1
0.0,0.0,0.0,n84-1
0.0,0.0,0.0,n107-1
0.0,0.0,0.0,n103-1
0.0,0.0,0.0,n97-1
0.0,0.0,0.0,n108-1
0.0,0.0,0.0,n109-1
0.0,0.0,0.0,n104-1
0.0,0.0,0.0,n98-1
0.0,0.0,0.0,n110-1
0.0,0.0,0.0,n111-1
0.0,0.0,0.0,n100-1
0.0,0.0,0.0,n112-1
0.0,0.0,0.0,n105-1
0.0,0.0,0.0,n101-1
0.0,0.0,0.0,n113-1
0.0,0.0,0.0,n102-1
0.0,0.0,0.0,n150-1
0.0,0.0,0.0,n124-1
0.0,0.0,0.0,n132-1
0.0,0.0,0.0,n151-1
0.0,0.0,0.0,n125-1
0.0,0.0,0.0,n133-1
0.0,0.0,0.0,n152-1
0.0,0.0,0.0,n126-1
0.0,0.0,0.0,n134-1
0.0,0.0,0.0,n153-1
0.0,0.0,0.0,n127-1
0.0,0.0,0.0,n135-1
0.0,0.0,0.0,n154-1
0.0,0.0,0.0,n128-1
0.0,0.0,0.0,n136-1
0.0,0.0,0.0,n155-1
0.0,0.0,0.0,n129-1
0.0,0.0,0.0,n137-1
0.0,0.0,0.0,n156-1
0.0,0.0,0.0,n130-1
0.0,0.0,0.0,n138-1
0.0,0.0,0.0,n157-1
0.0,0.0,0.0,n131-1
0.0,0.0,0.0,n139-1
0.0,0.0,0.0,n173-1
0.0,0.0,0.0,n164-1
0.0,0.0,0.0,n158-1
0.0,0.0,0.0,n169-1
0.0,0.0,0.0,n165-1
0.0,0.0,0.0,n159-1
0.0,0.0,0.0,n170-1
0.0,0.0,0.0,n171-1
0.0,0.0,0.0,n161-1
0.0,0.0,0.0,n172-1
0.0,0.0,0.0,n166-1
0.0,0.0,0.0,n162-1
0.0,0.0,0.0,n163-1
0.0,0.0,0.0,n199-1
0.0,0.0,0.0,n200-1
0.0,0.0,0.0,n183-1
0.0,0.0,0.0,n189-1
0.0,0.0,0.0,n190-1
0.0,0.0,0.0,n209-1
0.0,0.0,0.0,n210-1
0.0,0.0,0.0,n184-1
0.0,0.0,0.0,n191-1
0.0,0.0,0.0,n211-1
0.0,0.0,0.0,n212-1
0.0,0.0,0.0,n185-1
0.0,0.0,0.0,n192-1
0.0,0.0,0.0,n204-1
0.0,0.0,0.0,n205-1
0.0,0.0,0.0,n186-1
0.0,0.0,0.0,n193-1
0.0,0.0,0.0,n194-1
0.0,0.0,0.0,n213-1
0.0,0.0,0.0,n214-1
0.0,0.0,0.0,n187-1
0.0,0.0,0.0,n195-1
0.0,0.0,0.0,n215-1
0.0,0.0,0.0,n216-1
0.0,0.0,0.0,n188-1
0.0,0.0,0.0,n196-1
0.0,0.0,0.0,n197-1
0.0,0.0,0.0,n235-1
0.0,0.0,0.0,n236-1
0.0,0.0,0.0,n227-1
0.0,0.0,0.0,n230-1
0.0,0.0,0.0,n231-1
