xml_id	midi_id	track	channel	pitch	onset
n4-1	deletion
n5-1	deletion
n6-1	deletion
n7-1	deletion
n1-1	deletion
n2-1	deletion
n3-1	deletion
n33-1	deletion
n34-1	deletion
n29-1	n11	1	0	54	3.317708333333332
n30-1	deletion
n31-1	deletion
n32-1	deletion
n58-1	deletion
n60-1	deletion
n59-1	deletion
n61-1	deletion
n55-1	deletion
n56-1	n47	1	0	54	5.490885416666663
n57-1	deletion
n70-1	deletion
n71-1	deletion
n65-1	deletion
n64-1	n48	1	0	62	5.4973958333333295
n72-1	deletion
n73-1	n54	1	0	54	5.8203124999999964
n67-1	deletion
n66-1	deletion
n68-1	n55	1	0	62	5.8203124999999964
n69-1	deletion
n81-1	deletion
n83-1	deletion
n82-1	deletion
n75-1	deletion
n84-1	deletion
n78-1	deletion
n79-1	n62	1	0	54	6.1445312499999964
n80-1	deletion
n93-1	deletion
n94-1	deletion
n88-1	deletion
n87-1	n69	1	0	62	6.4778645833333295
n95-1	deletion
n96-1	n68	1	0	54	6.4752604166666625
n90-1	deletion
n89-1	deletion
n91-1	deletion
n92-1	deletion
n104-1	deletion
n98-1	deletion
n101-1	deletion
n100-1	deletion
n103-1	deletion
n102-1	deletion
n113-1	deletion
n114-1	deletion
n108-1	deletion
n107-1	deletion
n115-1	deletion
n110-1	deletion
n109-1	deletion
n116-1	deletion
n117-1	deletion
n112-1	deletion
n111-1	deletion
n124-1	deletion
n119-1	deletion
n118-1	deletion
n125-1	deletion
n126-1	deletion
n121-1	deletion
n120-1	deletion
n127-1	deletion
n123-1	deletion
n122-1	deletion
n131-1	deletion
n132-1	deletion
n128-1	deletion
n140-1	deletion
n142-1	deletion
n141-1	deletion
n143-1	deletion
n137-1	deletion
n138-1	deletion
n139-1	n112	1	0	64	9.490885416666671
n152-1	deletion
n153-1	deletion
n147-1	deletion
n146-1	deletion
n154-1	n113	1	0	55	9.500000000000005
n155-1	deletion
n149-1	n120	1	0	64	9.851562500000007
n148-1	deletion
n150-1	deletion
n151-1	deletion
n163-1	deletion
n165-1	deletion
n164-1	deletion
n157-1	n118	1	0	76	9.753906250000007
n166-1	deletion
n160-1	deletion
n161-1	deletion
n162-1	n134	1	0	64	10.53776041666668
insertion	n127	1	0	64	10.175781250000012
n175-1	deletion
n176-1	deletion
n170-1	deletion
n169-1	deletion
n177-1	n135	1	0	55	10.54166666666668
n178-1	deletion
n172-1	n138	1	0	64	10.641927083333348
n171-1	deletion
n173-1	deletion
n174-1	deletion
n186-1	deletion
n180-1	n145	1	0	79	11.391927083333348
n183-1	n142	1	0	70	11.164062500000016
n182-1	n139	1	0	78	11.151041666666682
n185-1	deletion
n184-1	deletion
n195-1	deletion
n196-1	deletion
n190-1	deletion
n189-1	n155	1	0	81	12.061197916666684
n197-1	deletion
n192-1	deletion
n191-1	n156	1	0	79	12.14583333333335
n198-1	deletion
n199-1	deletion
n194-1	n159	1	0	78	12.214843750000018
n193-1	deletion
n206-1	deletion
n201-1	n160	1	0	79	12.312500000000018
n200-1	n154	1	0	83	11.96223958333335
n207-1	deletion
n208-1	deletion
n203-1	deletion
n202-1	deletion
n209-1	deletion
n205-1	n166	1	0	83	12.576822916666684
n204-1	deletion
n213-1	deletion
n214-1	deletion
n210-1	deletion
n224-1	n178	1	0	70	13.291666666666686
n225-1	deletion
n226-1	n181	1	0	76	13.395833333333353
n222-1	n186	1	0	78	13.657552083333353
n217-1	deletion
n223-1	deletion
n219-1	deletion
n218-1	deletion
n221-1	deletion
n220-1	deletion
n237-1	deletion
n238-1	n189	1	0	74	13.757812500000023
n228-1	deletion
n227-1	deletion
n234-1	n194	1	0	54	14.036458333333357
n235-1	n198	1	0	66	14.230468750000025
n230-1	deletion
n229-1	deletion
n232-1	deletion
n231-1	deletion
n245-1	n196	1	0	69	14.149739583333357
