velocity,timing,articulation,id
0.0,0.0,0.0,n2-1
0.0,0.0,0.0,n13-1
0.0,0.0,0.0,n14-1
0.0,0.0,0.0,n15-1
0.0,0.0,0.0,n16-1
0.0,0.0,0.0,n17-1
0.0,0.0,0.0,n4-1
0.0,0.0,0.0,n5-1
0.0,0.0,0.0,n6-1
0.0,0.0,0.0,n7-1
0.0,0.0,0.0,n8-1
0.0,0.0,0.0,n9-1
0.0,0.0,0.0,n18-1
0.0,0.0,0.0,n19-1
0.0,0.0,0.0,n10-1
0.0,0.0,0.0,n11-1
0.0,0.0,0.0,n12-1
0.0,0.0,0.0,n20-1
0.0,0.0,0.0,n21-1
0.0,0.0,0.0,n22-1
0.0,0.0,0.0,n34-1
0.0,0.0,0.0,n35-1
0.0,0.0,0.0,n23-1
0.0,0.0,0.0,n24-1
0.0,0.0,0.0,n25-1
0.0,0.0,0.0,n26-1
0.0,0.0,0.0,n27-1
0.0,0.0,0.0,n28-1
0.0,0.0,0.0,n36-1
0.0,0.0,0.0,n37-1
0.0,0.0,0.0,n29-1
0.0,0.0,0.0,n30-1
0.0,0.0,0.0,n31-1
0.0,0.0,0.0,n39-1
0.0,0.0,0.0,n40-1
0.0,0.0,0.0,n41-1
0.0,0.0,0.0,n53-1
0.0,0.0,0.0,n54-1
0.0,0.0,0.0,n42-1
0.0,0.0,0.0,n43-1
0.0,0.0,0.0,n44-1
0.0,0.0,0.0,n45-1
0.0,0.0,0.0,n46-1
0.0,0.0,0.0,n47-1
0.0,0.0,0.0,n55-1
0.0,0.0,0.0,n56-1
0.0,0.0,0.0,n48-1
0.0,0.0,0.0,n49-1
0.0,0.0,0.0,n50-1
0.0,0.0,0.0,n58-1
0.0,0.0,0.0,n59-1
0.0,0.0,0.0,n60-1
0.0,0.0,0.0,n72-1
0.0,0.0,0.0,n73-1
0.0,0.0,0.0,n61-1
0.0,0.0,0.0,n62-1
0.0,0.0,0.0,n63-1
0.0,0.0,0.0,n64-1
0.0,0.0,0.0,n65-1
0.0,0.0,0.0,n66-1
0.0,0.0,0.0,n67-1
0.0,0.0,0.0,n68-1
0.0,0.0,0.0,n69-1
0.0,0.0,0.0,n74-1
0.0,0.0,0.0,n75-1
0.0,0.0,0.0,n76-1
0.0,0.0,0.0,n87-1
0.0,0.0,0.0,n88-1
0.0,0.0,0.0,n89-1
0.0,0.0,0.0,n77-1
0.0,0.0,0.0,n78-1
0.0,0.0,0.0,n79-1
0.0,0.0,0.0,n80-1
0.0,0.0,0.0,n81-1
0.0,0.0,0.0,n82-1
0.0,0.0,0.0,n90-1
0.0,0.0,0.0,n91-1
0.0,0.0,0.0,n92-1
0.0,0.0,0.0,n83-1
0.0,0.0,0.0,n84-1
0.0,0.0,0.0,n85-1
0.0,0.0,0.0,n93-1
0.0,0.0,0.0,n94-1
0.0,0.0,0.0,n95-1
0.0,0.0,0.0,n108-1
0.0,0.0,0.0,n109-1
0.0,0.0,0.0,n110-1
0.0,0.0,0.0,n96-1
0.0,0.0,0.0,n97-1
0.0,0.0,0.0,n98-1
0.0,0.0,0.0,n99-1
0.0,0.0,0.0,n100-1
0.0,0.0,0.0,n101-1
0.0,0.0,0.0,n111-1
0.0,0.0,0.0,n112-1
0.0,0.0,0.0,n113-1
0.0,0.0,0.0,n114-1
0.0,0.0,0.0,n102-1
0.0,0.0,0.0,n103-1
0.0,0.0,0.0,n104-1
0.0,0.0,0.0,n115-1
0.0,0.0,0.0,n116-1
